inputName,outputName
Abies bifolia,Abies lasiocarpa var. bifolia
Abronia argillosa,Abronia glabrifolia
Abutilon incanum,Abutilon incanum
Abutilon parvulum,Abutilon parvulum
Abutilon theophrasti,Abutilon theophrasti
Acanthoxanthium spinosum,Xanthium spinosum
Acer glabrum var. glabrum,Acer glabrum var. glabrum
Acer grandidentatum var. grandidentatum,Acer grandidentatum var. grandidentatum
Acer negundo,Acer negundo
Acer negundo var. interius,Acer negundo var. interius
Acer negundo var. violaceum,Acer negundo var. violaceum
Acetosella paucifolia,Rumex paucifolius
Acetosella vulgaris,Rumex acetosella
Achillea filipendulina,Achillea filipendulina
Achillea lanulosa,Achillea millefolium
Achillea millefolium,Achillea millefolium
Achillea ptarmica,Achillea ptarmica
Achnatherum ×bloomeri,Eriocoma x bloomeri 
Achnatherum aridum,Eriocoma arida
Achnatherum hymenoides,Eriocoma hymenoides
Achnatherum lettermanii,Eriocoma lettermanii 
Achnatherum nelsonii,Eriocoma nelsonii
Achnatherum perplexum,Eriocoma perplexa
Achnatherum pinetorum,Eriocoma pinetorum
Achnatherum richardsonii,Eriocoma richardsonii
Achnatherum robustum,Eriocoma robusta 
Achnatherum scribneri,Eriocoma scribneri 
Achnatherum speciosum,Pappostipa speciosa
Achnatherum webberi,Eriocoma webberi
Achnatherum x bloomeri,Eriocoma x bloomeri 
Acomastylis rossii ssp. turbinata,Geum rossii var. turbinatum
Aconitum columbianum,Aconitum columbianum
Acorus calamus,Acorus calamus
Acosta diffusa,Centaurea diffusa
Acosta maculosa,Centaurea stoebe ssp. micranthos
Acrolasia albicaulis,Mentzelia albicaulis
Acrolasia dispersa,Mentzelia dispersa
Acrolasia humilis,Mentzelia thompsonii
Acroptilon repens,Rhaponticum repens
Actaea rubra,Actaea rubra
Actaea rubra ssp. arguta,Actaea rubra
Adenolinum lewisii,Linum lewisii
Adenolinum perenne,Linum perenne
Adenolinum pratense,Linum pratense
Adiantum aleuticum,Adiantum aleuticum
Adiantum capillus-veneris,Adiantum capillus-veneris
Adoxa moschatellina,Adoxa moschatellina
Aegilops cylindrica,Aegilops cylindrica
Aethionema saxatile,Aurinia saxatilis
Agalinis tenuifolia,Agalinis tenuifolia var. parviflora
Agalinis tenuifolia var. parviflora,Agalinis tenuifolia var. parviflora
Agaloma marginata,Euphorbia marginata
Agastache foeniculum,Agastache foeniculum
Agastache pallidiflora,Agastache pallidiflora
Agastache urticifolia,Agastache urticifolia
Ageratina herbacea,Ageratina herbacea
Agoseris aurantiaca,Agoseris aurantiaca
Agoseris aurantiaca var. aurantiaca,Agoseris aurantiaca var. aurantiaca
Agoseris aurantiaca var. purpurea,Agoseris aurantiaca var. purpurea
Agoseris glauca,Agoseris glauca
Agoseris glauca var. dasycephala,Agoseris glauca var. dasycephala
Agoseris glauca var. glauca,Agoseris glauca var. glauca
Agoseris glauca var. laciniata,Agoseris parviflora
Agoseris heterophylla,Agoseris heterophylla
Agoseris heterophylla var. heterophylla,Agoseris heterophylla
Agoseris parviflora,Agoseris parviflora
Agrimonia striata,Agrimonia striata
Agropyron cristatum,Agropyron cristatum
Agropyron fragile,Agropyron fragile
Agropyron mongolicum,Agropyron fragile
Agrostemma githago,Agrostemma githago
Agrostis exarata,Agrostis exarata
Agrostis gigantea,Agrostis gigantea
Agrostis idahoensis,Agrostis idahoensis
Agrostis mertensii,Agrostis mertensii
Agrostis scabra,Agrostis scabra
Agrostis stolonifera,Agrostis stolonifera
Agrostis variabilis,Agrostis variabilis
Ailanthus altissima,Ailanthus altissima
Alcea rosea,Alcea rosea
Aletes acaulis,Aletes acaulis
Aletes anisatus,Aletes anisatus
Aletes eastwoodiae,Lomatium eastwoodiae
Aletes humilis,Aletes humilis
Aletes latilobus,Lomatium latilobum
Aletes lithophilus,Neoparrya lithophila
Aletes macdougalii ssp. breviradiatus,Aletes macdougalii ssp. breviradiatus
Aletes nuttallii,Lomatium nuttallii
Aletes petraeus,Pteryxia petraea
Aletes sessiliflorus,Aletes sessiliflorus
Aletes tenuifolius,Musineon tenuifolium
Alhagi maurorum,Alhagi maurorum
Aliciella haydenii,Aliciella haydenii
Aliciella leptomeria,Aliciella leptomeria
Aliciella mcvickerae,Aliciella mcvickerae
Aliciella micromeria,Aliciella micromeria
Aliciella penstemonoides,Aliciella penstemonoides
Aliciella pinnatifida,Aliciella pinnatifida
Aliciella sedifolia,Aliciella sedifolia
Aliciella stenothyrsa,Aliciella stenothyrsa
Aliciella triodon,Aliciella triodon
Alisma gramineum,Alisma gramineum
Alisma subcordatum,Alisma subcordatum
Alisma triviale,Alisma triviale
Alliaria petiolata,Alliaria petiolata
Allionia incarnata,Allionia incarnata
Allium acuminatum,Allium acuminatum
